,koi_pdisposition,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_teq,koi_insol,koi_dor,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_smass
5086,1,0.673,4.947,35.6,0.005783,0.14259000000000002,1.57,1690.0,1927.62,5.54,280.0,6056.0,3.7969999999999997,2.481,1.408
5087,0,1.155,6.68665,46455.0,0.459132,4.20467,101.13,525.0,17.94,214.22,5.0,7591.0,4.05,2.017,1.665
5088,0,1.099,3.4710300000000003,71479.0,0.499643,1.78555,50.31,863.0,130.83,18.62,158.0,5749.0,4.502,0.922,0.987
5089,0,0.989,3.44204,94342.0,0.47225100000000003,0.98216,46.0,1187.0,470.37,8.705,342.0,5891.0,4.45,0.892,0.818
5090,0,1.238,3.7369,15647.0,0.403463,0.28631,45.95,1061.0,300.43,8.056,228.0,5778.0,4.325,1.043,0.839
5091,0,0.898,2.40749,124500.0,0.484781,1.17022,463.05,4194.0,73013.77,4.051,1088.0,4884.0,2.737,8.747,1.522
5092,1,0.951,1.0022,1322.4,0.04465,6.86781,4.05,752.0,75.32,33.3,137.0,5530.0,4.541,0.831,0.876
5093,0,0.736,19.5818,65496.0,0.258662,0.10953,21.86,335.0,2.98,36.462,13.0,5263.0,4.572,0.774,0.816
5094,1,0.332,7.776,580.4,0.02222,1.06936,2.33,454.0,10.04,62.6,20.0,5982.0,4.493,0.96,1.047
5095,0,0.92,17.9728,130570.0,0.500513,0.07433,43.01,542.0,20.39,15.396,45.0,5913.0,4.585,0.787,0.874
5096,1,0.112,2.4212,328.9,0.016627,8.912339999999999,1.69,746.0,73.37,46.34,74.0,6003.0,4.507,0.932,1.019
5097,1,0.261,12.205,388.0,0.018175,0.6781,2.14,377.0,4.78,94.5,7.0,6127.0,4.356,1.08,0.964
5098,1,0.021,5.016,195.2,0.012657999999999999,0.96696,0.9,588.0,28.27,21.48,99.0,5271.0,4.669,0.648,0.718
5099,1,0.971,8.613,282.0,0.020442,0.00839,2.08,676.0,49.23,5.54,68.0,6003.0,4.507,0.932,1.019
5100,0,0.971,6.947,525.1,0.027145,0.34226,5.7,410.0,6.67,133.2,4.0,7196.0,4.064,1.923,1.562
